,l1,l2,l3,s1,s2,s3
460,1,0,0,-1,0,0
461,1,0,0,3,1,0
462,0,1,1,0,1,0
463,1,0,0,2,0,0
464,2,0,0,-2,-1,0
465,1,0,0,1,1,0
466,0,0,0,0,1,0
467,3,0,0,0,-1,0
468,0,0,0,3,1,0
469,0,0,0,0,5,0
470,1,0,0,2,0,0
471,0,0,0,-1,-1,0
472,0,2,0,1,1,0
473,0,0,0,1,2,0
474,2,1,0,4,1,0
475,1,2,0,4,1,0
476,2,4,0,0,0,0
477,0,0,0,1,0,0
478,0,1,0,1,2,0
479,0,1,0,3,1,0
480,0,0,0,-1,1,0
481,0,0,0,2,2,0
482,0,0,0,0,0,0
483,0,0,0,0,1,0
484,0,0,0,1,1,0
485,0,0,0,1,1,0
486,0,1,0,0,1,0
487,0,1,0,5,0,0
488,0,0,0,3,1,0
489,1,0,0,0,1,0
490,0,0,0,-2,0,0
491,0,0,0,1,1,0
492,0,1,0,-1,0,0
493,3,2,0,3,1,0
494,1,1,0,2,2,0
495,2,1,0,1,0,0
496,1,0,0,1,1,0
497,0,0,0,2,2,0
498,1,2,0,0,2,0
499,0,1,0,0,1,0
500,0,0,0,4,0,0
501,0,0,1,0,2,0
502,0,1,0,0,0,0
503,1,0,0,1,1,0
504,0,0,0,2,2,0
505,1,2,0,4,1,0
506,1,0,0,-1,-1,0
507,0,1,0,0,0,0
508,1,0,0,1,0,0
509,0,0,-1,1,2,0
510,0,1,0,0,0,0
511,1,1,0,4,1,0
512,0,0,0,0,3,0
513,0,1,0,1,-1,0
514,1,0,0,2,1,0
515,0,0,0,1,0,0
516,0,1,0,1,0,0
517,0,0,0,1,3,0
518,1,1,0,2,2,0
519,0,0,0,2,0,0
520,0,0,0,2,0,0
521,2,0,0,0,0,0
522,3,2,0,2,0,0
523,0,1,0,3,2,0
524,1,0,0,1,2,0
525,0,1,0,0,0,0
526,0,0,0,1,1,0
527,1,0,0,3,1,0
528,1,1,1,2,0,0
529,2,0,0,2,1,0
530,0,0,0,0,0,0
531,1,1,0,1,0,0
532,1,0,0,2,4,0
533,4,1,0,0,0,0
534,2,1,0,3,3,0
535,0,0,0,0,-1,0
536,0,0,0,2,1,0
537,0,1,0,1,0,0
538,0,0,0,3,0,0
539,0,1,0,-1,2,0
540,1,0,0,0,0,0
541,0,0,0,4,-1,0
542,0,0,0,3,1,0
543,1,0,0,1,3,0
544,0,2,0,2,2,0
545,1,0,0,2,0,0
546,0,0,0,0,0,0
547,-1,0,0,6,1,0
548,1,0,0,0,1,0
549,0,1,0,1,1,0
550,1,0,0,2,0,0
551,0,0,0,0,2,0
552,0,0,0,1,0,0
553,0,0,0,1,0,0
554,1,1,0,-1,0,0
555,1,0,0,0,0,0
556,2,3,0,1,2,0
557,3,1,0,4,0,0
558,0,0,0,3,3,0
559,0,1,0,1,0,0
560,0,0,0,2,1,0
561,0,0,0,2,2,0
562,2,1,0,1,2,0
563,1,1,1,0,-1,0
564,1,1,0,2,1,0
565,0,0,0,1,2,0
566,0,1,1,0,1,0
567,0,1,0,-1,0,0
568,0,1,0,0,0,0
569,1,2,0,4,1,0
570,0,1,0,0,0,0
571,0,0,0,0,1,0
572,1,0,0,0,0,0
573,0,1,0,2,0,0
574,0,2,0,4,1,0
575,0,0,0,0,0,0
576,0,1,0,1,1,0
577,1,2,0,1,0,0
578,0,1,0,1,-1,0
579,0,0,0,1,2,0
580,4,2,0,0,2,0
581,0,2,0,2,0,0
582,2,0,0,4,2,0
583,2,0,0,3,0,0
584,1,0,0,-1,-1,0
585,0,1,0,2,1,0
586,2,1,0,0,0,0
587,0,0,0,2,1,0
588,0,1,0,2,0,0
589,0,0,0,-1,-1,0
590,0,0,0,-1,0,0
591,-1,0,0,1,0,0
592,1,0,0,6,0,0
593,1,1,1,3,3,0
594,0,0,0,0,1,0
595,1,0,0,0,1,0
596,0,0,0,3,2,0
597,1,1,0,-1,0,0
598,0,0,0,0,0,0
599,0,0,0,0,2,0
600,0,0,0,0,0,0
601,1,0,0,2,1,0
602,0,0,0,2,1,0
603,2,0,0,1,0,0
604,0,1,0,1,1,0
605,0,0,0,3,1,0
606,0,1,0,4,1,0
607,0,0,0,1,1,0
608,3,0,0,5,3,0
609,0,0,1,2,2,0
610,0,0,0,5,3,0
611,0,1,1,3,1,0
612,0,1,0,1,-2,0
613,0,0,0,2,0,0
614,1,1,0,1,2,0
615,0,1,0,2,2,0
616,0,1,0,2,-1,0
617,3,0,0,0,1,0
618,0,0,0,0,1,0
619,0,2,1,4,1,0
620,1,0,1,2,0,0
621,0,0,0,2,3,0
622,0,0,0,1,1,0
623,0,0,0,1,1,0
624,2,0,1,0,1,0
625,0,1,0,1,0,0
626,1,0,0,0,0,0
627,2,0,0,1,0,0
628,0,0,0,0,0,0
629,0,0,-1,2,3,0
630,0,0,1,2,0,0
631,0,0,0,0,2,0
632,1,0,0,3,1,0
633,0,0,0,1,0,0
634,1,0,0,5,0,0
635,0,2,0,2,1,0
636,1,0,0,1,1,0
637,1,0,0,0,-1,0
638,0,0,0,-2,3,0
639,0,1,0,2,1,0
640,0,0,0,0,2,0
641,1,0,0,6,4,0
642,1,0,0,1,0,0
643,0,0,0,1,0,0
644,0,0,0,1,3,0
645,2,0,0,3,1,0
646,0,0,0,1,0,0
647,1,2,0,4,0,0
648,0,0,1,1,4,0
649,0,1,0,3,0,0
650,0,0,0,-1,1,0
651,1,1,0,5,1,0
652,0,1,0,0,1,0
653,0,1,0,0,1,0
654,0,0,0,4,3,0
655,0,0,0,4,0,0
656,1,0,0,3,2,0
657,0,1,0,2,1,0
658,0,0,0,2,0,0
659,1,0,0,2,0,0
660,0,2,0,4,0,0
661,0,0,0,0,1,0
662,2,0,0,-1,1,0
663,1,0,0,0,0,0
664,1,1,0,2,1,0
665,0,1,0,1,1,0
666,0,0,0,1,1,0
667,0,0,0,4,3,0
668,1,0,0,0,2,0
669,0,0,0,4,1,0
670,0,0,0,-3,-1,0
671,0,0,0,1,1,0
672,1,1,0,1,3,0
673,1,0,0,2,1,0
674,1,0,0,0,-1,0
675,0,1,0,2,3,0
676,1,2,0,4,3,0
677,0,1,0,2,3,0
678,0,3,1,0,0,0
679,0,1,0,1,1,0
680,2,2,0,1,0,0
681,1,0,0,2,0,0
682,1,1,0,0,0,0
683,0,1,0,-1,0,0
684,2,2,0,2,0,0
685,1,1,0,3,1,0
686,1,1,0,2,1,0
687,0,2,0,0,0,0
688,0,0,0,0,1,0
689,3,2,0,0,1,0
690,0,1,0,2,1,0
691,0,0,0,0,1,0
692,0,0,0,1,1,0
693,1,0,0,1,0,0
694,0,0,0,1,1,0
695,1,0,0,1,1,0
696,0,0,0,3,-1,0
697,0,0,0,2,2,0
698,1,1,0,-1,4,0
699,1,1,0,2,0,0
700,2,1,0,0,1,0
701,0,0,0,1,-1,0
702,0,1,0,5,1,0
703,0,0,0,0,0,0
704,0,1,0,4,0,0
705,2,1,0,2,2,0
706,1,1,0,2,0,0
707,1,1,0,1,2,0
708,0,0,0,4,0,0
709,1,1,0,2,0,0
710,0,0,0,0,0,0
711,1,1,0,2,1,0
712,0,0,0,5,2,0
713,1,0,0,2,4,0
714,0,0,0,-1,3,0
715,0,1,0,1,0,0
716,3,2,0,3,0,0
717,2,0,0,1,2,0
718,1,0,0,0,-1,0
719,1,0,0,0,2,0
720,0,0,0,5,1,0
721,0,0,0,3,2,0
722,0,2,0,1,0,0
723,1,1,0,0,2,0
724,0,0,0,-1,0,0
725,0,1,0,2,0,0
726,2,0,0,0,0,0
727,0,0,0,4,2,0
728,0,1,0,2,3,0
729,0,0,0,0,1,0
730,1,0,0,1,0,0
731,0,0,0,5,1,0
732,0,0,0,-1,2,0
733,1,0,0,3,0,0
734,1,0,0,1,-1,0
735,0,1,0,0,0,0
736,1,0,0,2,1,0
737,0,1,0,2,2,0
738,0,0,0,4,2,0
739,0,1,0,2,1,0
740,2,0,0,7,3,0
741,0,0,0,3,1,0
742,0,0,0,3,0,0
743,0,1,0,1,0,0
744,0,0,0,2,2,0
745,0,1,0,0,2,0
746,3,1,1,1,1,0
747,0,0,0,1,1,0
748,0,0,0,1,2,0
749,0,1,0,2,4,0
750,0,0,0,-1,2,0
751,2,0,0,1,1,0
752,2,1,0,3,2,0
753,0,0,0,2,2,0
754,0,1,0,0,-1,0
