学部番号,学部,学科,学科2,第1段階指定1科類,第1段階指定1枠数,第1段階指定2科類,第1段階指定2枠数,第1段階指定3科類,第1段階指定3枠数,内定第1段階指定1科類,残指定1枠数,内定指定2科類,残指定2枠数,内定指定3科類,残指定3枠数,第１志望者（合計）,１志（文１）,１志（文２）,１志（文３）,１志（理１）,１志（理２）,１志（理３）,第１内定者（合計）,１内（文１）,１内（文２）,１内（文３）,１内（理１）,１内（理２）,１内（理３）,第１志望者（合計）,１志全（文１）,１志全（文２）,１志全（文３）,１志全（理１）,１志全（理２）,１志全（理３）,第１内定者（合計）,１内全（文１）,１内全（文２）,１内全（文３）,１内全（理１）,１内全（理２）,１内全（理３）,,第二段階指定1科類,第二段階指定1枠数,指定1使用,指定1底点,指定1点数,指定1学籍番号,第二段階指定2科類,第二段階指定2枠数,指定2使用,指定2底点,指定2点数,指定2学籍番号,第二段階指定3科類,第二段階指定3枠数,指定3使用,指定3底点,指定3点数,指定3学籍番号,第二段階指定4科類,第二段階指定4枠数,指定4使用,指定4底点,指定4点数,指定4学籍番号,,第１志望者（合計）,２志（文１）,２志（文２）,２志（文３）,２志（理１）,２志（理２）,２志（理３）,第１内定者（合計）,１内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,第２志望者（合計）,２志全（文１）,２志全（文２）,２志全（文３）,２志全（理１）,２志全（理２）,２志全（理３）,第２内定者（合計）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）,学部番号,学部,学科,学科2
44,農学部,環境資源科学,国際開発農学,456,9,,,123456,4,0,9,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,5,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,農学部,環境資源科学,国際開発農学
45,農学部,獣医学課程獣医学,獣医学課程獣医学,5,18,,,123456,3,0,18,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,農学部,獣医学課程獣医学,獣医学課程獣医学
46,工学部,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ａ（設計・技術戦略）,4,12,56,1,123456,1,0,12,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,工学部,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ａ（設計・技術戦略）
47,工学部,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,11,,,123456,3,0,11,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,工学部,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ
48,工学部,社会基盤学Ｃ（国際プロジェクト）,社会基盤学Ｃ（国際プロジェクト）,4,4,,,123456,3,0,4,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,工学部,社会基盤学Ｃ（国際プロジェクト）,社会基盤学Ｃ（国際プロジェクト）
49,工学部,建築学,建築学,4,34,,,123456,6,0,34,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,工学部,建築学,建築学
50,工学部,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,7,56,3,123456,3,0,7,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,工学部,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）
51,工学部,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,15,,,123456,6,0,15,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,工学部,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）
52,工学部,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,57,56,2,123456,2,0,57,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,0,31,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,工学部,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）
53,工学部,機械工学B,機械工学B,4,25,,,123456,1,0,25,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,工学部,機械工学B,機械工学B
