学部番号,学部,学科,学科2,第1段階指定1科類,第1段階指定1枠数,第1段階指定2科類,第1段階指定2枠数,第1段階指定3科類,第1段階指定3枠数,１志（文１）,１志（文２）,１志（文３）,１志（理１）,１志（理２）,１志（理３）,１内（文１）,１内（文２）,１内（文３）,１内（理１）,１内（理２）,１内（理３）,１志全（文１）,１志全（文２）,１志全（文３）,１志全（理１）,１志全（理２）,１志全（理３）,１内全（文１）,１内全（文２）,１内全（文３）,１内全（理１）,１内全（理２）,１内全（理３）,第二段階指定1科類,第二段階指定1枠数,第二段階指定2科類,第二段階指定2枠数,第二段階指定3科類,第二段階指定3枠数,第二段階指定4科類,第二段階指定4枠数,２志（文１）,２志（文２）,２志（文３）,２志（理１）,２志（理２）,２志（理３）,２内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,２志全（文１）,２志全（文２）,２志全（文３）,２志全（理１）,２志全（理２）,２志全（理３）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）,学部番号.1,学部.1,学科.1,学科2.1
27,教養,教養学科,認知行動科学,123,3,456,3,123456,,,1,3,8,,,,1,2,3,,,,,,,,,,,,,,,456,1,123,1,0,0,123456,0,8,11,13,39,26,,,,1,1,,,,,,,,,,,,,,,27,教養,教養学科,認知行動科学
28,教養,際科学科,Ａ 群,123,5,456,4,123456,,2,3,7,4,2,,,,5,3,1,,,,,,,,,,,,,,456,1,123,4,0,0,123456,0,8,26,25,30,13,,,2,2,,1,,,,,,,,,,,,,,28,教養,際科学科,Ａ 群
29,教養,際科学科,Ｂ 群,123,2,456,3,123456,,,3,6,10,3,,,1,1,2,1,,,2,5,8,2,,,1,3,,,,456,3,123,1,0,0,123456,0,2,18,13,56,31,,,,1,1,2,,,,,,,,,,,,,,29,教養,際科学科,Ｂ 群
30,教養,PEAK,教養学科国際日本研究コース,,,,,123456,3,,,,,,,,,,,,,,1,2,,,,,1,2,,,,0,0,0,0,0,0,123456,2,,,,,,,,,,,,,3,5,5,2,1,,,,1,,,,30,教養,PEAK,教養学科国際日本研究コース
31,教養,PEAK,学際科学科国際環境学コース,,,,,123456,3,,,,,,,,,,,,,,,,,1,,,,,,1,,0,0,0,0,0,0,123456,4,,,,,,,,,,,,,2,9,4,2,4,,,1,,,,,31,教養,PEAK,学際科学科国際環境学コース
32,農学部,応用生命科学,生命化学・工学,5,40,,,123456,12,,,,,32,,,,,,32,,,,,4,,,,,,4,,,456,41,0,0,0,0,123456,0,,,,28,84,,,,,1,14,,,,,,,,,,,,,,32,農学部,応用生命科学,生命化学・工学
33,農学部,応用生命科学,応用生物学,5,13,,,123456,5,,,,,9,,,,,,9,,,,1,,,,,,1,,,,456,16,0,0,0,0,123456,0,,,,9,30,,,,,,4,,,,,,,,,,,,,,33,農学部,応用生命科学,応用生物学
34,農学部,応用生命科学,森林生物科学,5,,,,123456,2,,,,,4,,,,,,4,,,1,,,,,,1,,,,,456,2,0,0,0,0,123456,3,,,,8,20,,,,,1,,,1,5,3,8,20,,,,,,,,34,農学部,応用生命科学,森林生物科学
35,農学部,応用生命科学,水圏生物科学,5,9,,,123456,3,,,,,13,,,,,,9,,,,1,2,4,,,,1,1,1,,456,6,0,0,0,0,123456,0,,,,14,35,,,,,1,4,,,,,,,,,,,,,,35,農学部,応用生命科学,水圏生物科学
36,農学部,応用生命科学,動物生命システム科学,5,4,,,123456,2,,,,,4,,,,,,4,,,,,1,,,,,,1,,,456,3,0,0,0,0,123456,1,,,,6,33,,,,,,3,,,4,2,6,33,,,,,,1,,36,農学部,応用生命科学,動物生命システム科学
37,農学部,応用生命科学,生物素材化学,5,8,,,123456,,,,,,7,,,,,,7,,,,,,,,,,,,,,456,6,0,0,0,0,123456,0,,,,14,29,,,,,2,3,,,,,,,,,,,,,,37,農学部,応用生命科学,生物素材化学
38,農学部,環境資源科学,緑地環境学,456,2,,,123456,2,,,,1,6,,,,,,2,,,,,1,4,,,,,,2,,456,2,0,0,0,0,123456,0,,,,13,25,,,,,1,1,,,,,,,,,,,,,,38,農学部,環境資源科学,緑地環境学
39,農学部,環境資源科学,森林環境資源科学,5,6,,,123456,4,,,,,2,,,,,,2,,,1,2,,,,,1,2,,,,456,1,0,0,0,0,123456,8,,,,13,31,,,,,,1,,1,10,4,13,31,,,2,,1,4,,39,農学部,環境資源科学,森林環境資源科学
40,農学部,環境資源科学,木質構造科学,5,5,,,123456,,,,,,6,,,,,,5,,,,,,,,,,,,,,456,3,0,0,0,0,123456,0,,,,16,33,,,,,,3,,,,,,,,,,,,,,40,農学部,環境資源科学,木質構造科学
41,農学部,環境資源科学,生物・環境工学,46,5,5,11,123456,2,,,,1,6,,,,,1,6,,,,,,,,,,,,,,456,16,123,1,0,0,123456,2,,4,3,14,40,,,,,3,6,,,4,3,14,40,,,,,,,,41,農学部,環境資源科学,生物・環境工学
42,農学部,環境資源科学,農業・資源経済学,123,6,456,14,123456,,,,7,5,20,,,,5,2,12,,,,,,,,,,,,,,456,8,123,5,0,0,123456,0,9,49,23,30,84,,,,5,,8,,,,,,,,,,,,,,42,農学部,環境資源科学,農業・資源経済学
